brilo   lipipiy   pailettes   brilantini
broche   broche   broche   spila
broma   chansa   blague   scherzo
bromear   chansa   blague   scherzo
baul   maleta   tronc   tronco
bachiler   licenciado   bachelor   scapolo
bandera   unancha   drapeau   bandiera
bala   bala   bale   proiettile
barbaro   barbaro   barbare   barbaro
barandila   barandila   garde_corps   ringhiera
barato   pisila   bon_marche   economico
barco   wanpu   bateau   nave
banda   hunu   groupe   banda
bolsilo   bolsilo   poche   tasca
casa   wasi   maison   casa
comer   mikuy   manger   mangiare
caro   caro   chariot   carelo
ciudad   laqta   vile   citta
cama   pununa   lit   letto
cabeza   uma   tete   testa
color   linpi   couleur   colore
comida   mikuna   nouriture   cibo
cuerpo   kurku   corps   corpo
casi   yaqa   presque   quasi
coche   caro   voiture   auto
cosa   imakuna   chose   cosa
compra   rantiy   acheter   acquistare
cual   mayqin   dont   che
cualquier   mayqinpas   tout   qualsiasi
cualquiera   mayqinpas   tout   qualsiasi
dia   punchaw   jour   giorno
de   de   de   da
dos   iskay   deux   due
decir   niy   dites   dire
doctor   hanpiq   docteur   medico
dar   quy   donner   dare
derecho   pana   droite   diritto
dinero   qulqi   argent   denaro
diferente   huk_niraq   diferents   diverso
dolor   nanay   douleur   dolore
dulce   miski   doux   dolce
dejar   saqiy   quitter   congedo
desde   chaymantapacha   de   da
detras   qipapi   ariere   indietro
digo   niy   Je_dis   Dico
desarolo   winay   developement   svilupo
debe   manakuy   devrait   dovrebbe
deber   kamay   doit   mosto
deseo   munay   souhaite   desiderio
estar   kay   etre   essere
esta   is   ce   questo
ese   chayta   que   che
eso   chayta   que   che
estar   kay   etre   essere
estoy   am   Je_suis   io sono
es   kayqa   es   es
estudio   yachakuy   etude   studio
estudiante   yachakuq   etudiant   studente
estudiar   yachakuy   etude   studio
falta   pisi   manquant   mancante
feliz   kusi   heureux   felice
frutas   rurukuna   fruits   frutti
frente   nawpaq   avant   fronte
fracaso   pantay   echec   falimento
fiebre   rupapakuy   fievre   febbre
fotografia   fotografia_nisqa   photographie   fotografia
futbol   futbol   footbal   calcio
feria   alinla   equitable   equo
fosforo   tupaq   phosphore   fosforo
filosofia   filosofia   philosophie   filosofia
fisico   fisico   physique   fisica
factor   factor   facteur   fattore
favor   yanapay   s+il_vous_plaît   per favore
fabrica   fabrica   usine   fabbrica
facil   mana_sasa   facile   facile
grande   hatun   grand site   grande
grupo   cluster   groupe   grupo
gusto   maliy   goût   gusto
gente   runakuna   personnes   persone
guera   awqay   guere   guera
gato   misi   chat   gatto
general   lapan   generalites   generale
ganar   atipay   gagner   vincere
hacer   ruway   faire   fare
hablar   rimay   parler   parlare
hombre   qari   home   uomo
historia   wilarina   histoire   storia
hoy   kunan   aujourd+hui   oggi
hotel   samana_wasi   hotel   albergo
haber   kananpaq   credit   credito
hogar   wasi   domicile   casa
ir   riy   alez_sur   andare
idea   yuyay   idee   idea
importante   chaniyuq   important   importante
informacion   wilakuy   information   informazioni
institucion   institucion_nisqa   institution   istituzione
internet   internet_nisqapi   internet   internet
incluso   aunque   y_compris   compreso
interesante   chaniyuq   interessant   interessante
investigacion   maskapay   recherche   ricerca
izquierda   luqi   gauche   sinistra
idioma   simi   langue   lingua
imagen   rikchay   image   imagine
iniciar   qalariy   comencer   inizio
inmediato   chaylapuni   imediatement   imediatamente
incluso   aunque   y_compris   compreso
informe   wilakuy   raport   raporto
interno   ukun   interne   interno
inversion   qulqi_churay   investissement   investimento
invitado   minkasqa   invite   ospite
inmigrante   inmigrante_nisqa   imigrant   imigrato
jardin   inkil   jardin   giardino
jugar   puklay   jouer   gioco
jefe   kamachiq   patron   capo
joven   wayna   jeune   giovane
juez   kuskachaq   juge   giudice
julio   Julio_kila   juilet   luglio
juntos   kuska   ensemble   insieme
juego   tupaq   jeu   gioco
jardineria   huertapi_lamk+ay   jardinage   giardinaggio
jacuzzi   jacuzzi_nisqa   jacuzzi   jacuzzi
kárate   karate   karate   karate
kiwi   Kiwi   kiwi   kiwi
kilogramo   kilogramo_nisqa   kilograme   chilogramo
karaoke   karaoke_nisqa   karaoke   karaoke
libro   maytu   livre   libro
lugar   kiti   place   luogo
lenguaje   simi   langue   lingua
leer   nawinchay   lire   leggere
luna   kila   lune   luna
legar   chayay   aler_a   vai a
leche   leche   lait   latte
lunes   lunes   lundi   lunedì
luz   kanchi   lumiere   luce
lista   lista   liste   elenco
levar   apay   aler_a   vai a
linea   siqi   ligne   linea
lado   waqta   cote   lato
libertad   qispisqa_kay   liberte   liberta
limpieza   pichay   nettoyage   pulizia
leccion   yachakuna   leçon   lezione
lucha   maqanakuy   lutte_contre   lotta
lograr   aypay   atteindre   raggiungere
legal   legal   legal   legale
lujoso   lujoso_nisqa   luxe   lusso
mujer   warmikuna   feme   donna
mano   maki   main   mano
mundo   pacha   monde   mondo
mes   kila   mois   mese
madre   mama   mere   madre
manana   paqarin   demain   domani
mucho   achka   beaucoup   molto
música   taki   musique   musica
mal   pantasqa   mauvais   cattivo
mejor   aswan_alin   meileur   meglio
medico   hanpiq   medico   medico
minuto   minuto   minute   minuto
mapa   mapa   carte   mapa
mar   mama_qucha   mer   mare
maraviloso   aswan_sumaq   merveileux   meraviglioso
material   material   materiel   materiale
matrimonio   casarakuy   mariage   matrimonio
matemáticas   nawrayupa   mathematiques   matematica
medida   mastariy   mesure   misura
medio   chawpi   moitie   meta
nombre   suti   nom   nome
noche   tutapi   nuit   notte
nacion   nacion   nation   nazione
número   yupay   numero   numero
nuevo   musuq   nouveau   nuovo
necesidad   manakuy   besoin_de   necessita
naturaleza   naturaleza   nature   natura
nacimiento   paqariy   naissance   nascita
nino   warma   enfant   bambino
noticia   wilaykuna   nouveles   notizie
nacional   hatun_laqta   national   nazionale
nacionalidad   suyumanta   nationalite   nazionalita
nivel   pata   niveau   livelo
negocio   qatuna   entreprise   attivita_comerciale
negativo   negativo   negatif   negativo
nota   uchuy_wilakuy   note   nota
nave   wanpu   bateau   nave
navegar   wanpuy   voile   vela
notar   wilakuy   note   nota
núcleo   sunqu   noyau_dur   nucleo
otro   huk   autre   altro
ojo   nawi   oeil   occhio
oportunidad   oportunidad   oportunite   oportunita
objeto   ima   objet   oggetto
oficina   oficina   bureau   uficio
oeste   kunti   ouest   ovest
persona   runa   personne   persona
parte   patma   partie   parte
papel   papel   role   ruolo
padre   tayta   pere   padre
pais   hatun_laqta   pays   paese
pasar   riy   aler a   vai a
politica   politica   politique   politica
problema   sasachakuy   probleme   problema
poder   atiy   puissance   potenza
público   runapaq   puissance_publique   potere_pubblico
paz   wakin   paix   pace
pedir   manakuy   comander   ordine
pagar   paylay   payer   retribuzione
pero   alqu   chien   cane
poner   churay   mettre   mettere
pared   pirqa   mur   muro
parecer   rikchakuq   ressembler_a   aspetto
participar   minkay   participer   partecipare
posible   atipanala   possible   possibile
problema   sasachakuy   probleme   problema
querer   munay   veulent   desiderare
queso   queso   fromage   formaggio
quedar   takyay   rencontrez   incontrare
quien   pi   qui   che
que   ima   qui   che
ropa   pachakuna   vetements   vestiti
relacion   masichay   relation   relazione
red   tawa_kuchusqa   reseau   rete
rio   mayu   rio   rio
razon   imarayku   raison   motivo
recibir   chaskiy   recevoir   ricevere
registro   hapichiy   enregistrez   registro
riqueza   atipay   richesse   ricchezza
rojo   puka   rouge   rosso
regresar   kutimunanpaq   retourner   ritorno
rápido   utqay   rapide   veloce
responsable   sululchaq   responsable   responsabile
rueda   tikrariq   roue   ruota
raza   paway   course   gara
recordar   yuyay   souvenez_vous_de   ricordare
region   suyu   region   regione
record   hapichiy   record   record
reloj   reloj   horloge   orologio
rutina   rutina   routine   routine
risa   asiykuna   rire   ridere
si   ari   oui   sì
segundo   iskay_niqi   deuxieme   secondo
siempre   sapa_kuti   toujours   sempre
sistema   sistema   systeme   sistema
su   paypaq   votre   il_tuo
ser   kay   etre   essere
seguridad   harkay   securite   sicurezza
salir   luqsiy   aler_a   vai
sentir   musyay   se sentir   sentire
siete   qanchis   sept   sette
sopa   lawa   soupe   zupa
tiempo   hayka_pacha   temps   tempo
trabajo   lamkay   travail   lavoro
tener   kanku   ont   avere
tres   kimsa   trois   tre
terminar   tukunku   finir   finitura
traer   apamuy   aporter   portare
tambien   kayna   egalement   anche
tarea   ruwana   devoirs   compiti
tomar   hapiy   prendre   prendere
techo   qata   toit   tetto
tio   tio   oncle   zio
tiempo   hayka_pacha   temps   tempo
tienda   rantiy   boutique   negozio
transporte   transporte   transport   trasporto
termino   kamachiy   terme   termine
tonto   upa   idiot   sciocco
tocar   takay   touchez   toccare
tratar   hanpiy   essayez   provare
television   TV   television   televisione
uno   huk   un   uno
usar   mawka   utiliser   utilizzo
un   a   a   a
una   silu   a   a
unir   encuadernar   rejoindre   unirsi
vida   kawsay   vie   vita
ver   qaway   voir   vedere
venir   hamuy   venez   venire
vecino   wasi_masi   voisin   vicino
vender   rantikuy   vendre   vendere
verdad   chiqaq   verite   verita
verde   qumir   vert   verde
vacaciones   raymi_punchawkunapi   vacances   vacanze
valor   chaniyuq   valeur   valore
vuelta   kutichiy   ariere   indietro
vista   qaway   voir   vista
viaje   ilay   voyage   viaggio
vuelo   paway   vol   volo
video   video   video   video
vino   chayamusqa   vin   vino
vender   rantikuy   vendre   vendere
variable   variable_nisqa   variable   variabile
visitar   watukuy   visitez   visita
votar   voto_nisqa   vote   voto
volver   kutichiy   retour_a   torna
web   web_nisqapi   web   web
walkman   puriq_runa   baladeur   walkman
whiskey   wiski   whisky   whisky
whatsap   whatsap_nisqawan   whatsap   whatsap
xilofono   xilofono_nisqa   xylophone   xilofono
xerox   xerox_nisqa   xerox   xerox
xenofobo   xenofobo_nisqa   xenophobe   xenofobo
xilografia   k+aspimanta   xylographie   xilografia
yo   nuqa   moi   me
ya   nam   ya   ya
y   chaymanta   y   y
zona   zona nisqa   zone   zona
zero   chusaq   zero   zero
zapato   zapato   chaussure   scarpa
zanahoria   zanahoria   carotte   carota
